Station Name,Current Output (MW),Region,Most Recent Output Time (AEST),Current % of Max Cap,Current % of Reg Cap,Max Cap (MW),Reg Cap (MW),Max ROC/Min,Unit Size (MW),Physical Unit No.,Participant,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Aggregation,DUID,Lat,Lon
Reece Power Station,114.66001,TAS1,2022-07-01T11:05:00+0000,96.35,99.19,119,115.6,40,115.6,2,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,REECE2,-41.72377,145.135948
Roma Gas Turbine Station,35.75947,QLD1,2022-07-01T11:05:00+0000,85.14,89.4,42,40,9,40,7,Origin Energy Electricity Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,ROMA_7,-26.577201,148.840199
Roma Gas Turbine Station,0,QLD1,2022-07-01T11:05:00+0000,0,0,42,40,9,40,8,Origin Energy Electricity Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,ROMA_8,-26.577201,148.840199
Bendeela / Kangaroo Valley Power Station,0,NSW1,2022-07-01T11:05:00+0000,0,0,240,240,12,"40, 80","B 1-2, KV 3-4",Origin Energy Electricity Limited,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,SHGEN,-34.73369,150.46687
Bendeela / Kangaroo Valley Pumps,0,NSW1,2022-07-01T11:05:00+0000,0,0,240,240,12,"40, 80","B 1-2, KV 3-4",Origin Energy Electricity Limited,Load Norm Off,Market,Scheduled,,,,,Y,SHPUMP,-34.73369,150.46687
Smithfield Energy Facility,0.19405,NSW1,2022-07-01T11:05:00+0000,0.11,0.12,175,160,35,"38, 62","1-3, 4",Marubeni Australia Power Services Pty Ltd,Generator,Non-Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),Y,SITHE01,-23.50972,150.319466
Snowtown Wind Farm Stage 2 North,13.9,SA1,2022-07-01T11:05:00+0000,9.65,9.65,144,144,50,3,Jan-48,Snowtown Wind Farm Stage 2 Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,SNOWNTH1,-33.83008204,138.1184114
Snowtown South Wind Farm,5.3,SA1,2022-07-01T11:05:00+0000,4.21,4.21,126,126,50,3,Jan-42,Snowtown Wind Farm Stage 2 Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,SNOWSTH1,-33.713867,138.140367
Snowtown Wind Farm Units 1 to 47,8.05062,SA1,2022-07-01T11:05:00+0000,8.13,8.13,99,99,20,2.1,Jan-47,Snowtown Wind Farm Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,SNOWTWN1,-33.713867,138.140367
Snuggery Power Station,0,SA1,2022-07-01T11:05:00+0000,0,0,69,63,3,21,3-Jan,Synergen Power Pty Limited,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),Y,SNUG1,-37.664551,140.415558
Stanwell Power Station,353.29703,QLD1,2022-07-01T11:05:00+0000,91.77,96.79,385,365,77,365,1,Stanwell Corporation Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,STAN-1,-23.50972,150.319466
Stanwell Power Station,305.21747,QLD1,2022-07-01T11:05:00+0000,79.28,83.62,385,365,77,365,2,Stanwell Corporation Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,STAN-2,-23.50972,150.319466
Stanwell Power Station,354.30963,QLD1,2022-07-01T11:05:00+0000,92.03,97.07,385,365,77,365,3,Stanwell Corporation Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,STAN-3,-23.50972,150.319466
Stanwell Power Station,0,QLD1,2022-07-01T11:05:00+0000,0,0,385,365,77,365,4,Stanwell Corporation Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,STAN-4,-23.50972,150.319466
Swanbank E Gas Turbine,0.41688,QLD1,2022-07-01T11:05:00+0000,0.11,0.11,385,385,77,385,1,Stanwell Corporation Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),N,SWAN_E,-27.655374,152.817938
Tallawarra Power Station,413,NSW1,2022-07-01T11:05:00+0000,89.78,89.78,460,460,92,460,1,EnergyAustralia Pty Ltd,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),N,TALWA1,-34.522778,150.808056
Tarong Power Station,333.80002,QLD1,2022-07-01T11:05:00+0000,86.7,95.37,385,350,77,350,1,Stanwell Corporation Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,TARONG#1,-26.782358,151.915273
Tarong Power Station,335.30002,QLD1,2022-07-01T11:05:00+0000,87.09,95.8,385,350,77,350,2,Stanwell Corporation Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,TARONG#2,-26.782358,151.915273
Tarong Power Station,280,QLD1,2022-07-01T11:05:00+0000,72.73,80,385,350,77,350,3,Stanwell Corporation Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,TARONG#3,-26.782358,151.915273
Tarong Power Station,335.30002,QLD1,2022-07-01T11:05:00+0000,87.09,95.8,385,350,77,350,4,Stanwell Corporation Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,TARONG#4,-26.782358,151.915273
Tarraleah Power Station,75,TAS1,2022-07-01T11:05:00+0000,79.79,83.33,94,90,60,15,6-Jan,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,TARRALEA,-42.301208,146.457156
Tarong North Power Station,443.3125,QLD1,2022-07-01T11:05:00+0000,92.36,100.07,480,443,96,450,1,Stanwell Corporation Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,N,TNPS1,-26.775763,151.914602
"Torrens Island Power Station ""A""",0,SA1,2022-07-01T11:05:00+0000,0,0,120,120,15,120,3,AGL SA Generation Pty Limited,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,N,TORRA3,-34.806844,138.521322
